jobid,id,panoid,date,lat,lon,svf,tvf,bvf
2024-01-08-09-38-39-920057,57,4oBDpThqZELDKasO58k2_w,2023-04,45.48209307629214,9.231359686919774,0.332258808486,0.129508213991,0.517072242473
2024-01-08-09-38-39-920057,64,555nOTDpITaQwdodPMbzzw,2023-04,45.48122309225943,9.231426611197605,0.306179001783,0.00154683225788,0.621695203408
2024-01-08-09-38-39-920057,12,CPTj2Rxsy1MfZRebYYi2qw,2023-04,45.48080903975281,9.233044326102068,0.464566545767,0.0596382241731,0.46214637546
2024-01-08-09-38-39-920057,58,Dx2mqJaZnu-GxgP6kBlaWg,2023-04,45.48229849565691,9.232846538564948,0.314763732636,0.0775487267814,0.592220901368
2024-01-08-09-38-39-920057,10,Gn3DclVq-UiDL5b_4l2yGQ,2023-04,45.48247790768147,9.234291092573688,0.35669610122,0.00228982414148,0.630716094483
2024-01-08-09-38-39-920057,13,i93A9xPpvN4iddSYOC6wdA,2023-04,45.48061998166797,9.23121443774782,0.379543488605,0.00736833119314,0.603175371994
2024-01-08-09-38-39-920057,63,iJDX-dcnlo-ppilsbBh8fw,2023-04,45.48175487358364,9.23196188970343,0.282624322373,0.0105261542336,0.692043969233
2024-01-08-09-38-39-920057,59,JtTRX0ebK8EofgbsYji5PQ,2023-04,45.48269271555317,9.234291454469911,0.470578203352,0.00732214939019,0.511050569485
2024-01-08-09-38-39-920057,62,PQtbCPu70WmEF8S_vez7pQ,2023-04,45.48235931091098,9.233096233170636,0.30766429016,0.0124285649046,0.67241058282
2024-01-08-09-38-39-920057,61,wm0XuflR4bbkrc3Pfd94_g,2023-04,45.48267147572827,9.234373528891904,0.465521963497,0.0090590878011,0.506563211874
2024-01-16-09-10-06-134930,90,B3eD1FE0OEEdLcE_npC8Qg,2023-04,45.48169534150136,9.233585482997912,0.407510553326,0.118989781789,0.456852912994
2024-01-16-09-10-06-134930,343,FzXfNE7yjiASr9zwqY3CqQ,2023-04,45.48262990610554,9.230544801488495,0.234845928789,0.291564925481,0.437365449286
2024-01-16-09-10-06-134930,338,NbmckSrN_vCmCZZluIhqbw,2023-04,45.48091970463483,9.231120498382467,0.294403901013,0.00382288004096,0.697650867617
2024-01-16-09-10-06-134930,91,NIUdCMknWnO__6HN-cKQPA,2023-04,45.48155403278293,9.234234361694467,0.518278590537,0.005532159303,0.460310154817
2024-01-16-12-06-33-25316,65,-2VT83I-O9yuad-AUttI4A,2023-04,45.48137323966629,9.231577743708966,0.375155880481,0.0451822397533,0.576967094492
2024-01-16-12-06-33-25316,93,0RwaNcIKWMxYCWFs_nxC3g,2023-04,45.48229338629275,9.23429266026054,0.352328093975,0.00681560387539,0.631271877568
2024-01-16-12-06-33-25316,73,3clTe3oScLfc-AFAEop3UQ,2023-04,45.48068798531961,9.231872514059809,0.326093385694,0.00205352286387,0.659445605277
2024-01-16-12-06-33-25316,77,8P6RHUuFj4iEEvX9NRE8aw,2023-04,45.48078225789731,9.232785244251113,0.45586250655,0.0530117986022,0.477736611308
2024-01-16-12-06-33-25316,83,9p5uLC5Xog8M6VCmKrZvCg,2023-04,45.48193900953194,9.232597432108507,0.325832402068,0.0259007046344,0.64262880663
2024-01-16-12-06-33-25316,76,aF4KMnlbGdNipdM9XtMqfg,2023-04,45.48076887376038,9.232655617215421,0.439366072645,0.062493196923,0.481522968143
2024-01-16-12-06-33-25316,60,b35n_5MwpB_YkCBl0yLUfA,2023-04,45.48191548938521,9.232164389313391,0.368518230576,0.00984671347794,0.608340056456
2024-01-16-12-06-33-25316,82,bhronBncCYI-_1Q24FFHDw,2023-04,45.48093071166929,9.234232479538035,0.460394157719,0.101999657349,0.413731679994
2024-01-16-12-06-33-25316,66,bilXhCHO93e-d6SZwmcI5A,2023-04,45.48077311434557,9.230958604929612,0.32539998383,0.11435201844,0.548718191144
2024-01-16-12-06-33-25316,94,bxu8ETMnmPNMQ9r9Jyu7gg,2023-04,45.48261818453567,9.234289906992089,0.451045549197,0.000997255417462,0.53728829963
2024-01-16-12-06-33-25316,67,cB9-NFeoIkgaV77Wxy5Hvg,2023-04,45.48107174445249,9.231274200299008,0.292314633415,0.000461762209802,0.695171119369
2024-01-16-12-06-33-25316,61,cMycG0P7Efv6vPMTVC5nSw,2023-04,45.48220678400586,9.232469528283865,0.347126564309,0.0344705191948,0.591617235602
2024-01-16-12-06-33-25316,63,dBIxsNYit1ugs1BBTfRn_w,2023-04,45.48257292128265,9.233963931455216,0.316154858782,0.000875842097708,0.65527237643
2024-01-16-12-06-33-25316,59,fE4hCVGH2Fg9QWmVHM8awg,2023-04,45.482058305287,9.232048975182003,0.335742707372,0.0235290374028,0.616160013274
2024-01-16-12-06-33-25316,74,FiIx8HbhL4vKT71YSXDckg,2023-04,45.48071474842418,9.23213185057454,0.336756438601,0.00559995253439,0.65173166811
2024-01-16-12-06-33-25316,8,fU4UUR8wXl9GvB8_gEFeRg,2022-08,45.48049523109273,9.234389731626866,0.50284920631,0.262575237646,0.220103769265
